GEO.id,GEO.id2,GEO.display-label,HC01_VC02,HC02_VC02,HC01_VC03,HC02_VC03,HC01_VC04,HC02_VC04,HC01_VC06,HC02_VC06,HC01_VC07,HC02_VC07,HC01_VC08,HC02_VC08,HC01_VC10,HC02_VC10,HC01_VC11,HC02_VC11,HC01_VC12,HC02_VC12,HC01_VC13,HC02_VC13,HC01_VC14,HC02_VC14,HC01_VC15,HC02_VC15,HC01_VC16,HC02_VC16,HC01_VC18,HC02_VC18,HC01_VC19,HC02_VC19,HC01_VC20,HC02_VC20,HC01_VC21,HC02_VC21,HC01_VC22,HC02_VC22,HC01_VC23,HC02_VC23,HC01_VC24,HC02_VC24,HC01_VC25,HC02_VC25,HC01_VC26,HC02_VC26,HC01_VC28,HC02_VC28,HC01_VC29,HC02_VC29,HC01_VC30,HC02_VC30,HC01_VC31,HC02_VC31,HC01_VC33,HC02_VC33,HC01_VC34,HC02_VC34,HC01_VC35,HC02_VC35,HC01_VC36,HC02_VC36,HC01_VC37,HC02_VC37,HC01_VC38,HC02_VC38,HC01_VC39,HC02_VC39,HC01_VC40,HC02_VC40,HC01_VC41,HC02_VC41,HC01_VC42,HC02_VC42
Id,Id2,Geography,Number; OCCUPANCY STATUS - Total housing units,Percent; OCCUPANCY STATUS - Total housing units,Number; OCCUPANCY STATUS - Total housing units - Occupied housing units,Percent; OCCUPANCY STATUS - Total housing units - Occupied housing units,Number; OCCUPANCY STATUS - Total housing units - Vacant housing units,Percent; OCCUPANCY STATUS - Total housing units - Vacant housing units,Number; TENURE - Occupied housing units,Percent; TENURE - Occupied housing units,Number; TENURE - Occupied housing units - Owner-occupied housing units,Percent; TENURE - Occupied housing units - Owner-occupied housing units,Number; TENURE - Occupied housing units - Renter-occupied housing units,Percent; TENURE - Occupied housing units - Renter-occupied housing units,Number; VACANCY STATUS - Vacant housing units,Percent; VACANCY STATUS - Vacant housing units,Number; VACANCY STATUS - Vacant housing units - For rent,Percent; VACANCY STATUS - Vacant housing units - For rent,Number; VACANCY STATUS - Vacant housing units - For sale only,Percent; VACANCY STATUS - Vacant housing units - For sale only,"Number; VACANCY STATUS - Vacant housing units - Rented or sold, not occupied","Percent; VACANCY STATUS - Vacant housing units - Rented or sold, not occupied","Number; VACANCY STATUS - Vacant housing units - For seasonal, recreational, or occasional use","Percent; VACANCY STATUS - Vacant housing units - For seasonal, recreational, or occasional use",Number; VACANCY STATUS - Vacant housing units - For migratory workers,Percent; VACANCY STATUS - Vacant housing units - For migratory workers,Number; VACANCY STATUS - Vacant housing units - Other vacant,Percent; VACANCY STATUS - Vacant housing units - Other vacant,Number; RACE OF HOUSEHOLDER - Occupied housing units,Percent; RACE OF HOUSEHOLDER - Occupied housing units,Number; RACE OF HOUSEHOLDER - Occupied housing units - One race,Percent; RACE OF HOUSEHOLDER - Occupied housing units - One race,Number; RACE OF HOUSEHOLDER - Occupied housing units - One race - White,Percent; RACE OF HOUSEHOLDER - Occupied housing units - One race - White,Number; RACE OF HOUSEHOLDER - Occupied housing units - One race - Black or African American,Percent; RACE OF HOUSEHOLDER - Occupied housing units - One race - Black or African American,Number; RACE OF HOUSEHOLDER - Occupied housing units - One race - American Indian and Alaska Native,Percent; RACE OF HOUSEHOLDER - Occupied housing units - One race - American Indian and Alaska Native,Number; RACE OF HOUSEHOLDER - Occupied housing units - One race - Asian,Percent; RACE OF HOUSEHOLDER - Occupied housing units - One race - Asian,Number; RACE OF HOUSEHOLDER - Occupied housing units - One race - Native Hawaiian and Other Pacific Islander,Percent; RACE OF HOUSEHOLDER - Occupied housing units - One race - Native Hawaiian and Other Pacific Islander,Number; RACE OF HOUSEHOLDER - Occupied housing units - One race - Some other race,Percent; RACE OF HOUSEHOLDER - Occupied housing units - One race - Some other race,Number; RACE OF HOUSEHOLDER - Occupied housing units - Two or more races,Percent; RACE OF HOUSEHOLDER - Occupied housing units - Two or more races,Number; HISPANIC OR LATINO HOUSEHOLDER AND RACE OF HOUSEHOLDER - Occupied housing units,Percent; HISPANIC OR LATINO HOUSEHOLDER AND RACE OF HOUSEHOLDER - Occupied housing units,Number; HISPANIC OR LATINO HOUSEHOLDER AND RACE OF HOUSEHOLDER - Occupied housing units - Hispanic or Latino (of any race),Percent; HISPANIC OR LATINO HOUSEHOLDER AND RACE OF HOUSEHOLDER - Occupied housing units - Hispanic or Latino (of any race),Number; HISPANIC OR LATINO HOUSEHOLDER AND RACE OF HOUSEHOLDER - Occupied housing units - Not Hispanic or Latino,Percent; HISPANIC OR LATINO HOUSEHOLDER AND RACE OF HOUSEHOLDER - Occupied housing units - Not Hispanic or Latino,Number; HISPANIC OR LATINO HOUSEHOLDER AND RACE OF HOUSEHOLDER - Occupied housing units - Not Hispanic or Latino - White alone,Percent; HISPANIC OR LATINO HOUSEHOLDER AND RACE OF HOUSEHOLDER - Occupied housing units - Not Hispanic or Latino - White alone,Number; AGE OF HOUSEHOLDER - Occupied housing units,Percent; AGE OF HOUSEHOLDER - Occupied housing units,Number; AGE OF HOUSEHOLDER - Occupied housing units - 15 to 24 years,Percent; AGE OF HOUSEHOLDER - Occupied housing units - 15 to 24 years,Number; AGE OF HOUSEHOLDER - Occupied housing units - 25 to 34 years,Percent; AGE OF HOUSEHOLDER - Occupied housing units - 25 to 34 years,Number; AGE OF HOUSEHOLDER - Occupied housing units - 35 to 44 years,Percent; AGE OF HOUSEHOLDER - Occupied housing units - 35 to 44 years,Number; AGE OF HOUSEHOLDER - Occupied housing units - 45 to 54 years,Percent; AGE OF HOUSEHOLDER - Occupied housing units - 45 to 54 years,Number; AGE OF HOUSEHOLDER - Occupied housing units - 55 to 64 years,Percent; AGE OF HOUSEHOLDER - Occupied housing units - 55 to 64 years,Number; AGE OF HOUSEHOLDER - Occupied housing units - 65 years and over,Percent; AGE OF HOUSEHOLDER - Occupied housing units - 65 years and over,Number; AGE OF HOUSEHOLDER - Occupied housing units - 65 years and over - 65 to 74 years,Percent; AGE OF HOUSEHOLDER - Occupied housing units - 65 years and over - 65 to 74 years,Number; AGE OF HOUSEHOLDER - Occupied housing units - 65 years and over - 75 to 84 years,Percent; AGE OF HOUSEHOLDER - Occupied housing units - 65 years and over - 75 to 84 years,Number; AGE OF HOUSEHOLDER - Occupied housing units - 65 years and over - 85 years and over,Percent; AGE OF HOUSEHOLDER - Occupied housing units - 65 years and over - 85 years and over
0500000US01001,1001,"Autauga County, Alabama",17662,100,16003,90.6,1659,9.4,16003,100,12929,80.8,3074,19.2,1659,100,527,31.8,232,14,91,5.5,158,9.5,3,0.2,648,39.1,16003,100,15879,99.2,13123,82,2599,16.2,68,0.4,51,0.3,1,0,37,0.2,124,0.8,16003,100,156,1,15847,99,13018,81.3,16003,100,672,4.2,2661,16.6,4117,25.7,3085,19.3,2494,15.6,2974,18.6,1771,11.1,951,5.9,252,1.6
0500000US01003,1003,"Baldwin County, Alabama",74285,100,55336,74.5,18949,25.5,55336,100,44016,79.5,11320,20.5,18949,100,3244,17.1,1488,7.9,516,2.7,11862,62.6,30,0.2,1809,9.5,55336,100,54818,99.1,49520,89.5,4663,8.4,300,0.5,139,0.3,6,0,190,0.3,518,0.9,55336,100,666,1.2,54670,98.8,49084,88.7,55336,100,2135,3.9,7949,14.4,11581,20.9,10912,19.7,8831,16,13928,25.2,7850,14.2,4791,8.7,1287,2.3
0500000US01005,1005,"Barbour County, Alabama",12461,100,10409,83.5,2052,16.5,10409,100,7612,73.1,2797,26.9,2052,100,380,18.5,175,8.5,119,5.8,403,19.6,2,0.1,973,47.4,10409,100,10348,99.4,5865,56.3,4368,42,33,0.3,26,0.2,3,0,53,0.5,61,0.6,10409,100,109,1,10300,99,5842,56.1,10409,100,503,4.8,1559,15,2085,20,2119,20.4,1507,14.5,2636,25.3,1388,13.3,923,8.9,325,3.1
0500000US01007,1007,"Bibb County, Alabama",8345,100,7421,88.9,924,11.1,7421,100,5951,80.2,1470,19.8,924,100,150,16.2,85,9.2,66,7.1,122,13.2,2,0.2,499,54,7421,100,7391,99.6,6033,81.3,1310,17.7,24,0.3,5,0.1,0,0,19,0.3,30,0.4,7421,100,58,0.8,7363,99.2,5999,80.8,7421,100,387,5.2,1300,17.5,1531,20.6,1435,19.3,1148,15.5,1620,21.8,896,12.1,543,7.3,181,2.4
0500000US01009,1009,"Blount County, Alabama",21158,100,19265,91.1,1893,8.9,19265,100,16075,83.4,3190,16.6,1893,100,410,21.7,193,10.2,138,7.3,260,13.7,9,0.5,883,46.6,19265,100,19098,99.1,18542,96.2,222,1.2,82,0.4,21,0.1,1,0,230,1.2,167,0.9,19265,100,558,2.9,18707,97.1,18245,94.7,19265,100,838,4.3,3292,17.1,4032,20.9,3720,19.3,3112,16.2,4271,22.2,2419,12.6,1420,7.4,432,2.2
0500000US01011,1011,"Bullock County, Alabama",4727,100,3986,84.3,741,15.7,3986,100,2969,74.5,1017,25.5,741,100,82,11.1,36,4.9,18,2.4,221,29.8,2,0.3,382,51.6,3986,100,3961,99.4,1077,27,2860,71.8,8,0.2,7,0.2,1,0,8,0.2,25,0.6,3986,100,72,1.8,3914,98.2,1037,26,3986,100,209,5.2,562,14.1,794,19.9,794,19.9,584,14.7,1043,26.2,444,11.1,409,10.3,190,4.8
0500000US01013,1013,"Butler County, Alabama",9957,100,8398,84.3,1559,15.7,8398,100,6403,76.2,1995,23.8,1559,100,269,17.3,145,9.3,42,2.7,267,17.1,0,0,836,53.6,8398,100,8372,99.7,5220,62.2,3118,37.1,19,0.2,10,0.1,0,0,5,0.1,26,0.3,8398,100,55,0.7,8343,99.3,5195,61.9,8398,100,386,4.6,1108,13.2,1671,19.9,1662,19.8,1239,14.8,2332,27.8,1139,13.6,879,10.5,314,3.7
0500000US01015,1015,"Calhoun County, Alabama",51322,100,45307,88.3,6015,11.7,45307,100,32856,72.5,12451,27.5,6015,100,2081,34.6,896,14.9,500,8.3,275,4.6,0,0,2263,37.6,45307,100,44969,99.3,36498,80.6,7888,17.4,194,0.4,201,0.4,22,0,166,0.4,338,0.7,45307,100,502,1.1,44805,98.9,36202,79.9,45307,100,2933,6.5,6890,15.2,9034,19.9,9173,20.2,6571,14.5,10706,23.6,5934,13.1,3762,8.3,1010,2.2
0500000US01017,1017,"Chambers County, Alabama",16256,100,14522,89.3,1734,10.7,14522,100,10994,75.7,3528,24.3,1734,100,494,28.5,150,8.7,141,8.1,176,10.1,4,0.2,769,44.3,14522,100,14452,99.5,9461,65.1,4931,34,28,0.2,20,0.1,0,0,12,0.1,70,0.5,14522,100,99,0.7,14423,99.3,9406,64.8,14522,100,703,4.8,2187,15.1,2722,18.7,2823,19.4,2206,15.2,3881,26.7,1937,13.3,1464,10.1,480,3.3
